FUND CODE,foreign_cash,foreign_global_equity,foreign_interest_rate_instruments,foreign_other_equity,local_cash,local_interest_rate_instruments,local_listed_equity,local_listed_property,local_other_equity,local_physical_property
RR52,0.020425385,0,0.032570526,0.014496073,0.303297112,0.595579851,0.002954663,0.006854576,0.000633895,0.023187918
RR53,0.026331068,0,0.083921999,0.206089366,0.09341608,0.355650332,0.188335173,0.012964126,0.010117584,0.023174272
RR54,0.017322116,0,0.075833635,0.258417565,0.068832259,0.233644989,0.298380835,0.014639633,0.009672714,0.023256254
RR55,0.014308722,0,0.052593523,0.328203214,0.044859224,0.126565029,0.385491337,0.018087991,0.007431104,0.022459856
RR56,0.013931433,0.416782467,0.011203536,0.175392591,0.032062045,0.052997552,0.263285612,0.011040145,0.000620133,0.022684487
RR58,0.039833045,0.195710952,0.143261815,0.016898913,0.086568528,0.335182037,0.152395226,0.002675524,0.003596591,0.02387737
RR59,0.054860497,0.24897865,0.104481773,0.016834445,0.032599117,0.258722026,0.249559371,0.005097622,0.004916064,0.023950434
RR60,0.062302055,0.287382477,0.071350762,0.017189282,0.015184682,0.152315746,0.355242138,0.007624835,0.006768648,0.024639376
RR62,-0.0581,0,0.0882,0.3023,0.1047,0.1575,0.3945,0.0109,0,0
RR63,0.0048,0,0.0803,0.345,0.0288,0.101,0.3854,0.0547,0,0
RR64,0,0,0,0,0.9212,0.0788,0,0,0,0
RR65,0,0,0,0,0.9212,0.0788,0,0,0,0
RR66,0.0232,0,0.1137,0.217,0.0879,0.3639,0.1485,0.0171,0.0287,0
RR67,0.0192,0,0.1577,0.1724,0.0933,0.3894,0.1639,0.0041,0,0
RR68,0.0444,0,0.0518,0.2811,0.1124,0.1129,0.3693,0.0016,0.0265,0
RR69,0.0732,0,0.0779,0.1449,0.2989,0.27,0.1196,0.0013,0.0142,0
RR70,-0.010300026,0,0.131299991,0.11640009,0.010399999,0.448799968,0.257899982,0.045499997,0,0
RR71,-0.005300027,0,0.072200001,0.254600012,0.0181,0.219300004,0.410800008,0.030300001,0,0
RR73,0.0026,0,0.0006,0.3403,0.0586,0.2119,0.3227,0.0098,0.0535,0
RR74,0.113999993,0,0.066299994,0.321800023,0.069999999,0.116799998,0.311099994,0,0,0
RR75,0,0,0,0,0.1459,0.8541,0,0,0,0
RR76,0.0776,0,0.0516,0.1953,0.1219,0.3452,0.2084,0,0,0
RR77,0,0.049639706,0,0,0.725793564,0.173881231,0.050685499,0,0,0
RR78,0,0.348020684,0,0,0.172691038,0.152276331,0.327011947,0,0,0
RR79,0,0.273417932,0,0,0.346483622,0.178222979,0.201875467,0,0,0
RR80,0,0.397640126,0,0,0.073883003,0.126677597,0.401799274,0,0,0
RR81,0,0.374210536,0,0,0.073756745,0.060701995,0.491330723,0,0,0
RR82,0.113999993,0,0.066299994,0.321800023,0.069999999,0.116799998,0.311099994,0,0,0
RR83,0.042,0,0.0005,0.385599992,0.101000001,0.154600002,0.316300004,0,0,0
RR84,0.014308722,0,0.052593523,0.328203214,0.044859224,0.126565029,0.385491337,0.018087991,0.007431104,0.022459856
RR85,0.020425385,0,0.032570526,0.014496073,0.303297112,0.595579851,0.002954663,0.006854576,0.000633895,0.023187918
RR86,0.026331068,0,0.083921999,0.206089366,0.09341608,0.355650332,0.188335173,0.012964126,0.010117584,0.023174272
RR87,0.0243,0,0,0.2786,0.2589,0.0633,0.3716,0.0033,0,0
RR88,0.0066,0,0,0.372,0.0807,0.1776,0.3449,0.0137,0.0045,0
RR94,0.0013,0,0.0194,0.3477,0.0406,0.1328,0.421,0.0372,0,0
RR95,0.0164,0,0.0387,0.3466,0.0282,0.383,0.1533,0.0338,0,0
RR96,0.0021,0,0.0159,0.3488,0.0269,0.2309,0.3393,0.0361,0,0
RT29,0.0017,0,0.0037,0.2973,0.0846,0.3764,0.2359,0.0004,0,0
RT30,0.0026,0,0.0086,0.235,0.0979,0.4777,0.1777,0.0005,0,0
RT31,0.0027,0,0.0006,0.3678,0.0426,0.2903,0.2956,0.0004,0,0
RT45,0.0243,0,0,0.2786,0.2589,0.0633,0.3716,0.0033,0,0
RT46,0.0066,0,0,0.372,0.0807,0.1776,0.3449,0.0137,0.0045,0
RT49,0.0026,0,0.0006,0.3403,0.0586,0.2119,0.3227,0.0098,0.0535,0
RT73,0.0007,0,0.0385,0,0.4318,0.529,0,0,0,0
RT77,0,0,0,0,0.019,0.853,0.104,0.024,0,0
RT78,0,0,0,0,0.019,0.853,0.104,0.024,0,0
RT79,0.020425385,0,0.032570526,0.014496073,0.303297112,0.595579851,0.002954663,0.006854576,0.000633895,0.023187918
RT80,0.0026,0,0.0086,0.235,0.0979,0.4777,0.1777,0.0005,0,0
RT83,0,0,0,0.000323706,7.94965E-05,8.14981E-07,0,0.000140547,0,0.999455435
RT84,0.0026,0,0.0086,0.235,0.0979,0.4777,0.1777,0.0005,0,0
RT85,0.0017,0,0.0037,0.2973,0.0846,0.3764,0.2359,0.0004,0,0
RT86,0.0027,0,0.0006,0.3678,0.0426,0.2903,0.2956,0.0004,0,0
RT87,0.00270081,0,0.016805042,0.230969291,0.072721817,0.503150945,0.171651495,0.0020006,0,0
RT88,0.0023,0,0.0103,0.2906,0.0573,0.4094,0.2279,0.0022,0,0
RT89,0.0017,0,0.0027,0.3572,0.0439,0.3072,0.2848,0.0025,0,0
RT90,0.0029,0,0.0628,0.0033,0.1165,0.8145,0,0,0,0
